Title,date
Naruto: Season 3: A Shirker's Call to Action: Layabout No More!,6/15/20
Naruto: Season 3: Village in Distress: A New A-Ranked Mission!,6/15/20
Naruto: Season 3: Zero Hour! The Destruction of the Hidden Leaf Village Begins!,6/15/20
Avatar: The Last Airbender: Book 3: The Puppetmaster,6/13/20
Avatar: The Last Airbender: Book 3: The Runaway,6/13/20
The Midnight Gospel: Season 1: Officers and Wolves,6/13/20
Avatar: The Last Airbender: Book 3: The Avatar and the Firelord,6/12/20
Snowpiercer,6/12/20
Avatar: The Last Airbender: Book 3: The Beach,6/12/20
Avatar: The Last Airbender: Book 3: Sokka's Master,6/12/20
Avatar: The Last Airbender: Book 3: The Painted Lady,6/12/20
Hannibal: Season 1: Apéritif,6/12/20
Avatar: The Last Airbender: Book 3: The Headband,6/11/20
Avatar: The Last Airbender: Book 3: The Awakening,6/11/20
The Midnight Gospel: Season 1: Taste of the King,6/9/20
Den of Thieves,6/9/20
V for Vendetta,6/9/20
Avatar: The Last Airbender: Book 2: The Earth King,6/8/20
Avatar: The Last Airbender: Book 2: Lake Laogai,6/7/20
Avatar: The Last Airbender: Book 2: Appa's Lost Days,6/7/20
Avatar: The Last Airbender: Book 2: Tales of Ba Sing Se,6/7/20
Avatar: The Last Airbender: Book 2: City of Walls and Secrets,6/7/20
Grey's Anatomy: Season 5: Life During Wartime,6/6/20
Grey's Anatomy: Season 5: There's No 'I' In Team,6/6/20
Grey's Anatomy: Season 5: Brave New World,6/6/20
Avatar: The Last Airbender: Book 2: The Desert,6/5/20
Avatar: The Last Airbender: Book 2: The Library,6/5/20
Avatar: The Last Airbender: Book 2: Bitter Work,6/5/20
Avatar: The Last Airbender: Book 2: The Chase,6/5/20
Avatar: The Last Airbender: Book 2: Zuko Alone,6/5/20
Avatar: The Last Airbender: Book 2: The Blind Bandit,6/5/20
Avatar: The Last Airbender: Book 2: Avatar Day,6/5/20
Avatar: The Last Airbender: Book 2: The Swamp,6/4/20
Avatar: The Last Airbender: Book 2: Return to Omashu,6/4/20
Avatar: The Last Airbender: Book 2: The Cave of Two Lovers,6/4/20
Avatar: The Last Airbender: Book 2: The Avatar State,6/4/20
Avatar: The Last Airbender: Book 1: The Siege of the North: Part 2,6/4/20
Avatar: The Last Airbender: Book 1: The Siege of the North: Part 1,6/4/20
Avatar: The Last Airbender: Book 1: The Waterbending Master,6/3/20
Grey's Anatomy: Season 5: Here Comes The Flood,6/3/20
Grey's Anatomy: Season 5: Dream A Little Dream Of Me: Part 2,6/2/20
Grey's Anatomy: Season 5: Dream A Little Dream Of Me: Part 1,6/2/20
Avatar: The Last Airbender: Book 1: The Northern Air Temple,6/2/20
Avatar: The Last Airbender: Book 1: The Great Divide,6/1/20
Avatar: The Last Airbender: Book 1: Jet,6/1/20
Avatar: The Last Airbender: Book 1: The Waterbending Scroll,5/31/20
Avatar: The Last Airbender: Book 1: Winter Solstice: Part 2: Avatar Roku,5/31/20
Avatar: The Last Airbender: Book 1: Winter Solstice: Part 1: The Spirit World,5/31/20
Peaky Blinders: Season 1: Episode 2,5/31/20
Jeffrey Epstein: Filthy Rich: Limited Series: Finding Their Voice,5/29/20
Jeffrey Epstein: Filthy Rich: Limited Series: The Island,5/29/20
Jeffrey Epstein: Filthy Rich: Limited Series: Follow the Money,5/28/20
Jeffrey Epstein: Filthy Rich: Limited Series: Hunting Grounds,5/28/20
Uncut Gems,5/27/20
Public Enemies,5/23/20
Avatar: The Last Airbender: Book 1: Imprisoned,5/23/20
Avatar: The Last Airbender: Book 1: The King of Omashu,5/23/20
Avatar: The Last Airbender: Book 1: The Warriors of Kyoshi,5/23/20
Avatar: The Last Airbender: Book 1: The Southern Air Temple,5/21/20
Avatar: The Last Airbender: Book 1: The Avatar Returns,5/21/20
Avatar: The Last Airbender: Book 1: The Boy in the Iceberg,5/21/20
Money Heist: Part 1: Episode 1,5/21/20
Devilman Crybaby: Limited Series: Beautiful Silene,5/20/20
"Devilman Crybaby: Limited Series: Come, Akira",5/20/20
Taxi Driver,5/12/20
"Too Hot to Handle: Season 1: Love, Sex or Money",5/10/20
Dark: Season 1: Past and Present,5/9/20
Dark: Season 1: Lies,5/9/20
Dark: Season 1: Secrets,5/8/20
Devilman Crybaby: Limited Series: Believe Me!,5/5/20
Devilman Crybaby: Limited Series: One Hand Is Enough,5/5/20
Devilman Crybaby: Limited Series: I Need You,5/5/20
Mad Men: Season 1: The Wheel,4/30/20
Extraction,4/25/20
Spring Breakers,4/25/20
Chris D'Elia: No Pain,4/22/20
Neon Genesis Evangelion: Season 1: The Silent Phone,4/14/20
Neon Genesis Evangelion: Season 1: Unfamiliar Ceilings,4/14/20
Neon Genesis Evangelion: Season 1: Angel Attack,4/14/20
American Assassin,4/14/20
Castlevania: Season 3: Investigators,4/6/20
Castlevania: Season 3: The Reparation of My Heart,4/6/20
Castlevania: Season 2: End Times,4/4/20
"Tiger King: Murder, Mayhem and Madness: Limited Series: Make America Exotic Again",4/1/20
"Tiger King: Murder, Mayhem and Madness: Limited Series: Playing with Fire",4/1/20
"Tiger King: Murder, Mayhem and Madness: Limited Series: The Secret",4/1/20
Castlevania: Season 2: For Love,3/30/20
Castlevania: Season 2: The River,3/29/20
Castlevania: Season 2: Last Spell,3/29/20
Castlevania: Season 2: Broken Mast,3/29/20
Castlevania: Season 2: Shadow Battles,3/29/20
Castlevania: Season 2: Old Homes,3/29/20
Castlevania: Season 2: War Council,3/29/20
Castlevania: Season 1: Monument,3/29/20
Castlevania: Season 1: Labyrinth,3/29/20
Castlevania: Season 1: Necropolis,3/29/20
Castlevania: Season 1: Witchbottle,3/29/20
Twilight,3/29/20
"Tiger King: Murder, Mayhem and Madness: Limited Series: Cult of Personality",3/29/20
Castlevania: Season 3: Bless Your Dead Little Hearts,3/28/20
Good Time,3/26/20
Chilling Adventures of Sabrina: Part 1: Chapter Eight: The Burial,3/24/20
Chilling Adventures of Sabrina: Part 1: Chapter Seven: Feast of Feasts,3/24/20
Chilling Adventures of Sabrina: Part 1: Chapter Six: An Exorcism in Greendale,3/24/20
Narcos: Mexico: Season 2: Free Trade,3/22/20
"Narcos: Mexico: Season 2: Growth, Prosperity, and Liberation",3/22/20
Narcos: Mexico: Season 2: Se Cayó El Sistema,3/22/20
Chilling Adventures of Sabrina: Part 1: Chapter Five: Dreams in a Witch House,3/22/20
Mad Men: Season 1: Ladies Room,3/19/20
Mad Men: Season 1: Smoke Gets in Your Eyes,3/19/20
Narcos: Mexico: Season 2: Truth and Reconciliation,3/19/20
Narcos: Mexico: Season 2: El Dedazo,3/19/20
Dirty Money: Season 2: The Wagon Wheel,3/16/20
Outbreak,3/16/20
Pete Davidson: Alive From New York,3/16/20
The Assassination of Gianni Versace: Season 1: Descent,3/16/20
The Assassination of Gianni Versace: Season 1: Don't Ask Don't Tell,3/16/20
The Assassination of Gianni Versace: Season 1: House by the Lake,3/16/20
Chilling Adventures of Sabrina: Part 1: Chapter Four: Witch Academy,3/10/20
Chilling Adventures of Sabrina: Part 1: Chapter Three: The Trial of Sabrina Spellman,3/8/20
Chilling Adventures of Sabrina: Part 1: Chapter Two: The Dark Baptism,3/8/20
Chilling Adventures of Sabrina: Part 1: Chapter One: October Country,3/8/20
The Interview,3/7/20
He's Just Not That Into You,3/7/20
The Assassination of Gianni Versace: Season 1: A Random Killing,3/5/20
The Assassination of Gianni Versace: Season 1: Manhunt,3/4/20
The Assassination of Gianni Versace: Season 1: The Man Who Would Be Vogue,3/3/20
Narcos: Mexico: Season 2: AFO,3/1/20
